tariff_code,tariff_name,package_code,primary_package_name,package_names,payor_buckets,organization_names,case_count_total,distinct_amount_count_total,min_amount_total,max_amount_total,all_observed_amounts,daycare_case_count,daycare_distinct_amount_count,daycare_min_amount,daycare_max_amount,daycare_observed_amounts,general_case_count,general_distinct_amount_count,general_min_amount,general_max_amount,general_observed_amounts,twin_case_count,twin_distinct_amount_count,twin_min_amount,twin_max_amount,twin_observed_amounts,single_case_count,single_distinct_amount_count,single_min_amount,single_max_amount,single_observed_amounts,deluxe_case_count,deluxe_distinct_amount_count,deluxe_min_amount,deluxe_max_amount,deluxe_observed_amounts,unknown_case_count,unknown_distinct_amount_count,unknown_min_amount,unknown_max_amount,unknown_observed_amounts
TR201,SSG_ICICI,GYN5219,CAESARIAN DELIVERY (LSCS),CAESARIAN DELIVERY (LSCS) | CAESARIAN SECTION (LSCS) | LSCS (CAESAREAN SECTION) - PA,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,11,5,70000,189200,110000.00 | 189200.00 | 70000.00 | 77000.00 | 82500.00,0,0,,,,1,1,70000,70000,70000,0,0,,,,10,5,70000,189200,110000.00 | 189200.00 | 70000.00 | 77000.00 | 82500.00,0,0,,,,0,0,,,
TR201,SSG_ICICI,GYN5229,ABDOMINAL HYSTERECTOMY,ABDOMINAL HYSTERECTOMY | LAPAROSCOPIC ADHEISIOLYSIS,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,8,1,89500,89500,89500,0,0,,,,0,0,,,,0,0,,,,8,1,89500,89500,89500,0,0,,,,0,0,,,
TR201,SSG_ICICI,GYN5324,NORMAL DELIVERY,NORMAL DELIVERY,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,4,1,55000,55000,55000,0,0,,,,0,0,,,,0,0,,,,4,1,55000,55000,55000,0,0,,,,0,0,,,
TR201,SSG_ICICI,OPT5176,PHACO EMULSIFICATION CATARACT SURGERY WITH IOL,PHACO EMULSIFICATION CATARACT SURGERY WITH IOL,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,32000,32000,32000,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1,32000,32000,32000
TR201,SSG_ICICI,ORT0013,OPEN REDUCTION OF FRACTURE NECK FEMUR MUSCLE PEDICLE GRAFT & INTERNAL FIXATION,OPEN REDUCTION OF FRACTURE NECK FEMUR MUSCLE PEDICLE GRAFT & INTERNAL FIXATION,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,92500,92500,92500,0,0,,,,0,0,,,,0,0,,,,1,1,92500,92500,92500,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT0052,TOTAL HIP REPLACEMENT (THR) - BILATERAL,TOTAL HIP REPLACEMENT (THR) - BILATERAL,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,165000,165000,165000,0,0,,,,0,0,,,,0,0,,,,1,1,165000,165000,165000,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT5071,ACL RECONSTRUCTION,ACL RECONSTRUCTION,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,5,2,76000,97000,76000.00 | 97000.00,0,0,,,,2,1,76000,76000,76000,0,0,,,,3,1,97000,97000,97000,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT5321,REMOVAL OF PLATES / WIRES / SCREWS,REMOVAL OF PLATES / WIRES / SCREWS,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,36500,36500,36500,0,0,,,,1,1,36500,36500,36500,0,0,,,,0,0,,,,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT5383,TOTAL HIP REPLACEMENT (THR),TOTAL HIP REPLACEMENT (THR) | TOTAL HIP REPLACEMENT (THR) - UNILATERAL,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,5,4,130000,309650,130000.00 | 148000.00 | 165000.00 | 309650.00,0,0,,,,1,1,130000,130000,130000,0,0,,,,4,3,148000,309650,148000.00 | 165000.00 | 309650.00,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT5510,TOTAL KNEE REPLACEMENT (TKR) - LEFT,TOTAL KNEE REPLACEMENT (TKR) - LEFT,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,9,4,125000,263500,125000.00 | 130000.00 | 155500.00 | 263500.00,0,0,,,,1,1,125000,125000,125000,1,1,130000,130000,130000,7,2,155500,263500,155500.00 | 263500.00,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT5511,TOTAL KNEE REPLACEMENT (TKR) - RIGHT,TOTAL KNEE REPLACEMENT (TKR) - RIGHT,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,7,3,130000,228500,130000.00 | 155500.00 | 228500.00,0,0,,,,0,0,,,,1,1,228500,228500,228500,6,2,130000,155500,130000.00 | 155500.00,0,0,,,,0,0,,,
TR201,SSG_ICICI,ORT5531,TOTAL KNEE REPLACEMENT (TKR) - BILATERAL,TOTAL KNEE REPLACEMENT (TKR) - BILATERAL,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,16,3,176000,223000,176000.00 | 193000.00 | 223000.00,0,0,,,,2,1,176000,176000,176000,1,1,193000,193000,193000,12,1,223000,223000,223000,0,0,,,,1,1,223000,223000,223000
TR201,SSG_ICICI,ORT5538,OPEN REDUCTION OF LONG BONES OF UPPER & LOWER LIMB,OPEN REDUCTION OF LONG BONES OF UPPER & LOWER LIMB,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,107500,107500,107500,0,0,,,,0,0,,,,0,0,,,,1,1,107500,107500,107500,0,0,,,,0,0,,,
TR201,SSG_ICICI,PRC0002,TOTAL KNEE REPLACEMENT (TKR) - RIGHT,TOTAL KNEE REPLACEMENT (TKR) - RIGHT,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,2,2,125000,155500,125000.00 | 155500.00,0,0,,,,1,1,125000,125000,125000,0,0,,,,1,1,155500,155500,155500,0,0,,,,0,0,,,
TR201,SSG_ICICI,PRC0856,TOTAL KNEE REPLACEMENT (TKR) - LEFT,TOTAL KNEE REPLACEMENT (TKR) - LEFT,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,2,1,155500,155500,155500,0,0,,,,0,0,,,,0,0,,,,2,1,155500,155500,155500,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5062,EXCISION OF FIBROADENOMA UNILATERAL,EXCISION OF FIBROADENOMA UNILATERAL,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,2,2,51500,71000,51500.00 | 71000.00,0,0,,,,1,1,51500,51500,51500,0,0,,,,1,1,71000,71000,71000,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5086,HYDROCELE - UNILATERAL,HYDROCELE - UNILATERAL,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,54375,54375,54375,0,0,,,,0,0,,,,0,0,,,,1,1,54375,54375,54375,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5162,APPENDICECTOMY-LAP PACKAGE,APPENDICECTOMY-LAP PACKAGE,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,16,3,65000,93000,65000.00 | 80000.00 | 93000.00,0,0,,,,4,1,65000,65000,65000,3,1,80000,80000,80000,8,2,80000,93000,80000.00 | 93000.00,0,0,,,,1,1,93000,93000,93000
TR201,SSG_ICICI,SGA5166,LAP CHOLECYSTECTOMY,LAP CHOLECYSTECTOMY,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,12,4,72500,188500,188500.00 | 72500.00 | 81500.00 | 96500.00,0,0,,,,2,1,72500,72500,72500,2,1,81500,81500,81500,8,2,96500,188500,188500.00 | 96500.00,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5340,HIGH FISTULECTOMY,HIGH FISTULECTOMY,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,3,2,51500,71000,51500.00 | 71000.00,0,0,,,,1,1,51500,51500,51500,0,0,,,,2,1,71000,71000,71000,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5342,LOW FISTULECTOMY,LOW FISTULECTOMY,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,64500,64500,64500,0,0,,,,0,0,,,,0,0,,,,1,1,64500,64500,64500,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5500,HEMI THYROIDECTOMY,HEMI THYROIDECTOMY,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,96500,96500,96500,0,0,,,,0,0,,,,0,0,,,,1,1,96500,96500,96500,0,0,,,,0,0,,,
TR201,SSG_ICICI,SGA5566,EXCISION OF PILONIDAL SINUS PRIMARY CLOSURE_x000D_,EXCISION OF PILONIDAL SINUS PRIMARY CLOSURE_x000D_,Non-GIPSA Insurance,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,1,1,58000,58000,58000,0,0,,,,0,0,,,,0,0,,,,1,1,58000,58000,58000,0,0,,,,0,0,,,
